,economy,Continent,Sub-region Name,CLDR display name,CC.EST.2022,CC.PER.RNK.2022,CC.PER.RNK.LOWER.2022,CC.PER.RNK.UPPER.2022,EG.CFT.ACCS.RU.ZS.2021,EG.CFT.ACCS.UR.ZS.2021,EG.CFT.ACCS.ZS.2021,EN.ATM.PM25.MC.M3.2019,ER.LND.PTLD.ZS.2022,ER.PTD.TOTL.ZS.2022,GE.EST.2022,GE.PER.RNK.2022,GE.PER.RNK.LOWER.2022,GE.PER.RNK.UPPER.2022,IQ.SPI.PIL1.2019,IT.NET.SECR.P6.2020
183,TZA,AF,Sub-Saharan Africa,Tanzania,-0.341099858283997,43.3962249755859,31.1320762634277,51.4150924682617,1.6,16.5,6.9,24.74048013,38.3785095,31.1556973146243,-0.42673471570015,34.4339637756348,23.1132068634033,49.0566024780273,76.6,36.9664989523134
184,USA,NA,Northern America,US,1.10425877571106,82.5471725463867,79.2452850341797,89.1509399414063,100.0,100.0,100.0,7.663692516,13.0182571,15.8833371610815,1.25599312782288,86.7924499511719,76.8867950439453,96.2264175415039,100.0,140803.888584117
185,URY,SA,Latin America and the Caribbean,Uruguay,1.61052799224854,91.9811325073242,89.1509399414063,95.7547149658203,100.0,100.0,100.0,9.533862914,3.6750729,2.44278917903604,0.849962711334229,77.3584899902344,64.6226425170898,87.7358474731445,100.0,1947.16609615507
186,UZB,AS,Central Asia,Uzbekistan,-0.757623434066772,24.5283012390137,18.3962268829346,34.4339637756348,73.1,98.1,82.8,34.78609557,5.7678466,5.76784640342131,-0.329515904188156,38.2075462341309,23.1132068634033,57.0754699707031,70.0,468.683587456784
187,VUT,OC,Melanesia,Vanuatu,-0.0289409626275301,53.301887512207,35.8490562438965,65.0943374633789,1.7,18.7,6.9,12.88296752,4.200532,0.0907167089757772,-0.536280393600464,32.0754699707031,11.7924528121948,57.0754699707031,60.0,359.337151290566
188,VEN,SA,Latin America and the Caribbean,Venezuela,-1.6511367559433,1.88679242134094,0.0,6.60377359390259,83.6,97.9,95.5,21.74698878,56.8789978,39.000858714192,-1.68818092346191,5.18867921829224,0.943396210670471,9.90566062927246,46.6,194.13520732717
189,VNM,AS,South-eastern Asia,Vietnam,-0.287282675504684,45.7547187805176,33.4905662536621,52.8301887512207,95.1,98.6,96.1,20.3898157,7.5767808,2.92950655009295,0.17549079656601,59.4339637756348,43.3962249755859,71.2264175415039,100.0,3127.95771613447
190,YEM,AS,Western Asia,Yemen,-1.67955815792084,1.41509437561035,0.0,6.60377359390259,41.8,92.95,61.3,44.46696713,0.771944,0.605801455707474,-2.23254156112671,0.471698105335236,0.0,1.88679242134094,80.0,5.23478376904803
191,ZMB,AF,Sub-Saharan Africa,Zambia,-0.529199838638306,34.4339637756348,23.5849056243896,45.7547187805176,2.2,19.5,10.2,25.92546019,41.2593994,41.2593993567739,-0.658232748508453,27.8301887512207,14.1509437561035,38.2075462341309,90.0,39.3602714326584
192,ZWE,AF,Sub-Saharan Africa,Zimbabwe,-1.2551394701004,8.49056625366211,4.24528312683105,17.9245281219482,7.0,77.9,30.3,20.83469969,27.2147465,27.2147472925701,-1.25461292266846,10.8490562438965,6.13207530975342,16.0377349853516,90.0,70.646049507373
