,economy,Continent,Sub-region Name,CLDR display name,CC.PER.RNK.LOWER.2018,IQ.SPI.PIL1.2015,IT.NET.SECR.P6.2016,RL.EST.2018,RQ.PER.RNK.UPPER.2018,SG.GEN.PARL.ZS.2019,SH.DYN.1014.2017,SP.DYN.IMRT.IN.2017,SP.POP.0014.TO.ZS.2018,SP.POP.1564.MA.ZS.2018,SP.POP.6064.MA.5Y.2018,SP.POP.7074.MA.5Y.2018
45,PRK,AS,Eastern Asia,North Korea,0.0,40.0,0.0,-1.64309453964233,2.38095235824585,17.6128093158661,1.9,14.4,19.2320393482377,71.7377273226969,4.80702071245672,2.77435451501735
46,COD,AF,Sub-Saharan Africa,Congo - Kinshasa,0.0,70.0,0.614016948365976,-1.80321037769318,9.0476188659668,10.0,9.9,69.5,46.3484911213574,50.4719570516918,1.59291798779291,0.825970850552393
47,DNK,EU,Northern Europe,Denmark,95.7142868041992,70.0,24041.3337267218,1.77329659461975,98.0952377319336,39.1061452513966,0.4,3.4,16.5122307682437,64.8876339324574,5.90585814894934,5.49397163299956
48,DJI,AF,Sub-Saharan Africa,Djibouti,13.8095235824585,20.0,10.7499455173216,-0.950232684612274,35.238094329834,26.1538461538462,5.7,51.7,32.2045160887554,63.2776576631444,2.21021498827614,1.18152197082737
49,DMA,NA,Latin America and the Caribbean,Dominica,59.523811340332,20.0,5451.30217623974,0.704500496387482,70.476188659668,25.0,1.7,29.8,20.6226834692365,70.8817556132235,4.46801308811915,2.23400654405957
50,DOM,NA,Latin America and the Caribbean,Dominican Republic,13.8095235824585,80.0,92.1388290883613,-0.365889728069305,62.8571434020996,26.8421052631579,1.7,28.8,28.1642785741028,65.3607425077451,3.26028605532884,1.55659208778891
51,ECU,SA,Latin America and the Caribbean,Ecuador,21.9047622680664,80.0,120.927626822697,-0.663210570812225,30.0,37.956204379562,1.5,12.4,27.4679697477705,65.3735858262577,3.18627638195738,1.74168129809319
52,EGY,AF,Northern Africa,Egypt,26.1904754638672,80.0,13.9100415166635,-0.30214911699295,33.8095245361328,14.9328859060403,2.2,18.6,33.4371650650679,62.4140523707616,2.51983118133071,1.11820636007765
53,SLV,NA,Latin America and the Caribbean,El Salvador,24.2857151031494,70.0,52.9556788166086,-0.930241405963898,63.3333320617676,30.952380952381,2.2,12.3,26.7894159695715,64.2091529566595,2.78018861209132,1.79438481505234
54,GNQ,AF,Sub-Saharan Africa,Equatorial Guinea,0.0,20.0,5.00383508217369,-1.42432010173798,9.0476188659668,21.0,7.2,64.1,38.9142405772218,60.1718728755093,1.65345180962548,0.68260674700494
